country_name,country_code,region,income_level,gdp,edu_exp,pupil_teacher_ratio,primary_enrollment,secondary_enrollment
Cambodia,KHM,East Asia & Pacific,Lower middle income,1547.3201,1.7034615,45.52116,116.10563,88.83529
Kiribati,KIR,East Asia & Pacific,Lower middle income,1639.8528,12.114,16.88246,104.85571,88.83529
St. Kitts and Nevis,KNA,Latin America & Caribbean ,High income,20328.8,2.54938,15.09945,113.63825,113.48226
"Korea, Rep.",KOR,East Asia & Pacific,High income,28737.44,4.45424,16.55424,100.06209,98.59319
Kuwait,KWT,Middle East & North Africa,High income,29882.213,4.8436,8.86229,101.93345,95.25442
Lao PDR,LAO,East Asia & Pacific,Lower middle income,2121.0134,2.736898,24.15685,114.178734,62.419247
Lebanon,LBN,Middle East & North Africa,Lower middle income,7714.11,4.8436,15.79669,102.21433,95.796685
Liberia,LBR,Sub-Saharan Africa ,Low income,692.5901,2.1158748,30.44637,90.182976,36.62308
Libya,LBY,Middle East & North Africa,Upper middle income,7458.4893,4.8436,15.79669,102.21433,95.796685
St. Lucia,LCA,Latin America & Caribbean ,Upper middle income,10334.923,3.88088,15.4614,95.74819,91.54832
Liechtenstein,LIE,Europe & Central Asia,High income,167187.16,4.870345,7.84524,105.66542,116.12344
Sri Lanka,LKA,South Asia,Lower middle income,4060.1313,2.10998,23.15243,97.529106,94.79276
Lesotho,LSO,Sub-Saharan Africa ,Lower middle income,1121.1985,7.6425023,33.08664,108.821594,58.58947
Lithuania,LTU,Europe & Central Asia,High income,14300.255,4.22719,12.86014,101.54234,102.15334
Luxembourg,LUX,Europe & Central Asia,High income,105462.016,3.76792,8.45773,97.40225,104.37919
Latvia,LVA,Europe & Central Asia,High income,13321.976,5.28252,11.13249,99.39332,112.35665
"Macao SAR, China",MAC,East Asia & Pacific,High income,70070.29,3.00247,14.08362,99.80247,100.96644
Morocco,MAR,Middle East & North Africa,Lower middle income,3146.2478,5.133369,25.88159,107.76275,95.796685
Monaco,MCO,Europe & Central Asia,High income,170437.1,4.870345,12.63871,100.3719,103.39604
Moldova,MDA,Europe & Central Asia,Upper middle income,2749.5513,5.805687,17.45665,105.722,105.05929
